Date	Ping	Down	Up
20160701 11:30:00	13.85	54.60	18.09
20160701 12:00:00	30.771	18.87	12.26
20160701 12:30:00	12.899	65.21	26.55
20160701 13:00:00	26.017	48.70	23.51
20160701 13:30:00	13.333	45.10	26.67
20160701 14:00:00	20.867	22.75	21.32
20160701 14:30:00	18.077	49.47	22.75
20160701 15:00:00	14.618	34.72	22.50
20160701 15:30:00	19.12	24.16	21.01
20160701 16:00:00	13.753	44.92	22.70
20160701 16:30:00	22.064	46.53	22.59
20160701 17:00:00	22.234	22.89	21.17
20160701 17:30:01	196.9	7.71	16.92
20160701 18:00:01	588.965	4.18	18.07
20160701 18:30:00	44.065	2.68	6.54
20160701 19:00:00	784.316	1.05	9.33
20160701 19:30:00	66.552	1.72	10.24
20160701 20:00:00	603.613	0.76	8.14
20160701 20:30:00			
20160701 21:00:00			
20160701 21:30:00			
20160701 22:00:00	not	configuration:	
20160701 22:30:00	95.752	3.36	14.33
20160701 23:00:00	201.988	3.55	16.25
20160701 23:30:00	24.747	8.76	16.91
20160702 00:00:00	26.873	14.78	17.14
20160702 00:30:00	267.749	10.73	14.54
20160702 01:00:00	not	configuration:	
20160702 01:30:00	14.677	57.33	18.55
20160702 02:00:00	12.896	60.07	24.07
20160702 02:30:00	13.022	87.23	24.46
20160702 03:00:00	13.465	83.26	26.36
20160702 03:30:00	12.958	92.72	27.77
20160702 04:00:00	13.304	93.83	27.77
20160702 04:30:00	13.499	92.49	24.27
20160702 05:00:00	12.728	94.10	30.51
20160702 05:30:00	12.867	94.15	24.51
20160702 06:00:00	13.153	93.97	28.64
20160702 06:30:00	13.073	93.89	27.93
20160702 07:00:00	12.286	91.95	27.27
20160702 07:30:00	14.262	75.85	22.57
20160702 08:00:00	12.747	71.47	23.83
20160702 08:30:00	12.995	73.68	26.95
20160702 09:00:00	13.881	65.31	21.82
20160702 09:30:00	13.575	37.20	20.45
20160702 10:00:00	16.387	56.01	20.63
20160702 10:30:00	21.031	27.92	19.47
20160702 11:00:00	31.732	50.88	23.48
20160702 11:30:00	24.044	20.43	18.60
20160702 12:00:00	26.173	11.42	16.67
20160702 12:30:00	12.983	35.66	24.93
20160702 13:00:00	20.608	29.73	21.21
20160702 13:30:00	16.851	40.89	21.57
20160702 14:00:00	78.142	7.12	12.98
20160702 14:30:00	91.763	5.01	11.59
20160702 15:00:00			
20160702 15:30:00			
20160702 16:00:00			
20160702 16:30:00			
20160702 17:00:00			
20160702 17:30:00			
20160702 18:00:00			
20160702 18:30:00			
20160702 19:00:00			
20160702 19:30:00			
20160702 20:00:00	not	configuration:	
20160702 20:30:00			
20160702 21:00:00			
20160702 21:30:00			
20160702 22:00:00			
20160702 22:30:00			
20160702 23:00:01			
20160702 23:30:00	19.201	16.18	18.46
20160703 00:00:00	33.885	15.47	22.28
20160703 00:30:01	190.723	8.86	16.64
20160703 01:00:00	24.127	19.86	20.91
20160703 01:30:00	17.944	29.59	17.52
20160703 02:00:00	19.011	52.22	22.80
20160703 02:30:00	16.007	77.29	24.92
20160703 03:00:00	13.278	71.15	23.09
20160703 03:30:00	13.58	87.68	25.65
20160703 04:00:00	13.31	92.61	28.21
20160703 04:30:00	13.438	94.43	29.25
20160703 05:00:00	12.614	94.31	24.96
20160703 05:30:00	13.245	94.41	27.40
20160703 06:00:00	15.154	94.21	25.40
20160703 06:30:00	13.36	94.32	24.22
20160703 07:00:00	13.071	94.14	26.31
20160703 07:30:00	12.802	93.65	25.18
20160703 08:00:00	13.055	92.78	26.66
20160703 08:30:00	13.444	86.91	24.80
20160703 09:00:00	12.393	90.09	27.80
20160703 09:30:00	17.476	30.88	20.93
20160703 10:00:00	75.738	31.58	23.76
20160703 10:30:00			
20160703 11:00:00	21.099	29.04	18.44
20160703 11:30:00	21.9	41.78	18.90
20160703 12:00:00	18.784	29.77	17.00
20160703 12:30:00	27.049	18.50	21.27
20160703 13:00:00	182.858	23.91	20.76
20160703 13:30:00			
20160703 14:00:00	28.169	13.86	14.26
20160703 14:30:00	43.288	2.37	16.03
20160703 15:00:00	not	configuration:	
20160703 15:30:00			
20160703 16:00:00	not	configuration:	
20160703 16:30:00			
20160703 17:00:00			
20160703 17:30:00			
20160703 18:00:00	not	configuration:	
20160703 18:30:00			
20160703 19:00:00			
20160703 19:30:00			
20160703 20:00:00	not	configuration:	
20160703 20:30:00			
20160703 21:00:00			
20160703 21:30:00			
20160703 22:00:00			
20160703 22:30:00			
20160703 23:00:00			
20160703 23:30:00			
20160704 00:00:00	194.203	16.46	19.19
20160704 00:30:00	24.643	44.68	25.80
20160704 01:00:00	12.722	84.06	27.66
20160704 01:30:00	12.745	84.13	25.51
20160704 02:00:00	15.592	91.79	25.69
20160704 02:30:00	12.372	92.16	25.03
20160704 03:00:00	12.608	94.04	27.77
